"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"211071_s_at",-1.58926271900566,12.4079111947171,-9.92205140622689,1.58803584684961e-18,1.07192419662348e-15,31.5094457607282
"36711_at",1.99730454452729,9.01046600140645,9.91585375388517,1.65126485809559e-18,1.10101105019971e-15,31.4713427634164
"1559402_a_at",2.3047789149226,7.39445768249702,9.91168476140127,1.69520197200784e-18,1.11668876890998e-15,31.4457151665595
"212361_s_at",-1.46262774738871,11.4747979371049,-9.89755720004183,1.85293551402206e-18,1.20606249082329e-15,31.3588898796747
"200650_s_at",-1.68577518315733,11.0560729538217,-9.87001414635641,2.20369903588509e-18,1.41749699749432e-15,31.1897029564077
"208813_at",-1.91582314104286,8.0861981708935,-9.86461645376427,2.27982496795205e-18,1.44424077825815e-15,31.1565605433958
"201305_x_at",1.46787022971113,10.282484021548,9.86334698000879,2.29810603947798e-18,1.44424077825815e-15,31.1487664908806
"203000_at",-2.03764753455187,11.4728391072867,-9.8564961009761,2.3993119010996e-18,1.49070884309796e-15,31.1067091804428
"212296_at",-1.2374225684037,10.3028775223735,-9.85358634515997,2.44362870495679e-18,1.50118426341025e-15,31.0888484888781
"218310_at",-1.12276400970817,9.78825857933261,-9.84397142273207,2.59594796587784e-18,1.57703838927079e-15,31.0298394311058
"201828_x_at",-1.35747226035953,10.3715417866332,-9.82894929078355,2.85307101204578e-18,1.71419403938025e-15,30.9376739149813
"239179_at",2.1452846788424,8.07639138940513,9.82388437490304,2.94536011991208e-18,1.74108755409196e-15,30.9066070313566
"209265_s_at",-1.09944850905461,9.1773621319363,-9.8230137581743,2.96152066813996e-18,1.74108755409196e-15,30.9012672998339
"218488_at",-1.40739337988587,7.0608328838762,-9.81921614396158,3.03305176112217e-18,1.7641713302059e-15,30.8779768845936
"219028_at",1.78554603490788,9.2140255725487,9.804153877363,3.33411338138437e-18,1.91886999081253e-15,30.7856238365347
